C:\Users\Eon\miniforge3\envs\lmy12\python.exe C:\Users\Eon\PycharmProjects\DCDDPM\train.py
CUDA 可用，有 1 个 GPU 可用
device: cuda:0
Epoch [104/1000], Loss: 24.2499, Used: 5.0500s
Epoch [105/1000], Loss: 44.1839, Used: 5.0398s
Epoch [106/1000], Loss: 23.5257, Used: 4.9829s
Epoch [107/1000], Loss: 25.2653, Used: 5.9345s
Epoch [108/1000], Loss: 22.5906, Used: 5.6911s
Epoch [109/1000], Loss: 25.0530, Used: 6.7712s
Epoch [110/1000], Loss: 31.6812, Used: 5.9443s
Epoch [111/1000], Loss: 29.2755, Used: 6.1786s
Epoch [112/1000], Loss: 26.5474, Used: 5.8248s
Epoch [113/1000], Loss: 23.9018, Used: 5.9949s
Epoch [114/1000], Loss: 23.5252, Used: 6.5350s
Epoch [115/1000], Loss: 23.2738, Used: 6.7904s
Epoch [116/1000], Loss: 26.3548, Used: 6.4071s
Epoch [117/1000], Loss: 25.2119, Used: 6.7599s
Epoch [118/1000], Loss: 21.0796, Used: 6.1136s
Epoch [119/1000], Loss: 22.1199, Used: 6.5472s
Epoch [120/1000], Loss: 21.4791, Used: 6.3115s
Epoch [121/1000], Loss: 23.4524, Used: 6.3942s
Epoch [122/1000], Loss: 26.0234, Used: 6.1645s
Epoch [123/1000], Loss: 20.5272, Used: 6.4263s
Epoch [124/1000], Loss: 27.9950, Used: 6.8028s
Epoch [125/1000], Loss: 23.8116, Used: 6.7399s
Epoch [126/1000], Loss: 24.2634, Used: 6.9686s
Epoch [127/1000], Loss: 22.4774, Used: 6.5820s
Epoch [128/1000], Loss: 25.0965, Used: 6.4344s
Epoch [129/1000], Loss: 22.9952, Used: 6.8517s
Epoch [130/1000], Loss: 24.2665, Used: 6.9665s
Epoch [131/1000], Loss: 23.2995, Used: 6.7019s
Epoch [132/1000], Loss: 24.1582, Used: 6.0326s
Epoch [133/1000], Loss: 20.8161, Used: 5.9222s
Epoch [134/1000], Loss: 20.3326, Used: 6.0393s
Epoch [135/1000], Loss: 25.0074, Used: 5.8827s
Epoch [136/1000], Loss: 20.7898, Used: 6.1465s
Epoch [137/1000], Loss: 24.9517, Used: 6.7874s
Epoch [138/1000], Loss: 22.7324, Used: 6.2008s
Epoch [139/1000], Loss: 19.3197, Used: 5.5037s
Epoch [140/1000], Loss: 21.9615, Used: 6.0864s
Epoch [141/1000], Loss: 21.7307, Used: 5.9481s
Epoch [142/1000], Loss: 18.6104, Used: 5.5822s
Epoch [143/1000], Loss: 20.7095, Used: 5.4526s
Epoch [144/1000], Loss: 18.2004, Used: 4.9486s
Epoch [145/1000], Loss: 20.6993, Used: 4.9164s
Epoch [146/1000], Loss: 19.3776, Used: 4.9285s
Epoch [147/1000], Loss: 20.7367, Used: 4.9214s
Epoch [148/1000], Loss: 19.8947, Used: 5.0214s
Epoch [149/1000], Loss: 20.4226, Used: 4.9148s
Epoch [150/1000], Loss: 21.7708, Used: 4.9315s
Epoch [151/1000], Loss: 24.1071, Used: 4.9516s
Epoch [152/1000], Loss: 21.4856, Used: 5.0172s
Epoch [153/1000], Loss: 24.5412, Used: 4.9590s
Epoch [154/1000], Loss: 20.0864, Used: 4.9746s
Epoch [155/1000], Loss: 18.9592, Used: 4.9972s
Epoch [156/1000], Loss: 19.6049, Used: 5.0195s
Epoch [157/1000], Loss: 19.1084, Used: 4.9374s
Epoch [158/1000], Loss: 20.7867, Used: 4.9289s
Epoch [159/1000], Loss: 24.3824, Used: 4.9296s
Epoch [160/1000], Loss: 19.0900, Used: 4.9162s
Epoch [161/1000], Loss: 22.3867, Used: 4.9277s
Epoch [162/1000], Loss: 21.8381, Used: 4.9197s
Epoch [163/1000], Loss: 22.3885, Used: 4.9367s
Epoch [164/1000], Loss: 19.0813, Used: 4.9207s
Epoch [165/1000], Loss: 18.9715, Used: 4.9240s
Epoch [166/1000], Loss: 17.1917, Used: 4.9381s
Epoch [167/1000], Loss: 20.0290, Used: 4.9289s
Epoch [168/1000], Loss: 18.6091, Used: 4.9108s
Epoch [169/1000], Loss: 20.6030, Used: 4.9285s
Epoch [170/1000], Loss: 20.3864, Used: 4.9287s
Epoch [171/1000], Loss: 18.9630, Used: 4.9265s
Epoch [172/1000], Loss: 18.6892, Used: 4.9201s
Epoch [173/1000], Loss: 17.8419, Used: 4.9146s
Epoch [174/1000], Loss: 20.4087, Used: 4.9368s
Epoch [175/1000], Loss: 17.9144, Used: 4.9315s
Epoch [176/1000], Loss: 24.0760, Used: 4.9213s
Epoch [177/1000], Loss: 16.8260, Used: 4.9222s
Epoch [178/1000], Loss: 18.2957, Used: 4.9273s
Epoch [179/1000], Loss: 18.5451, Used: 4.9178s
Epoch [180/1000], Loss: 18.4619, Used: 4.9383s
Epoch [181/1000], Loss: 17.0893, Used: 4.9141s
Epoch [182/1000], Loss: 18.3759, Used: 4.9371s
Epoch [183/1000], Loss: 18.0839, Used: 4.9215s
Epoch [184/1000], Loss: 18.1493, Used: 4.9352s
Epoch [185/1000], Loss: 18.3477, Used: 4.9221s
Epoch [186/1000], Loss: 16.0653, Used: 4.9202s
Epoch [187/1000], Loss: 17.3451, Used: 4.9308s
Epoch [188/1000], Loss: 18.2282, Used: 4.9339s
Epoch [189/1000], Loss: 20.5419, Used: 4.9243s
Epoch [190/1000], Loss: 16.3158, Used: 5.0133s
Epoch [191/1000], Loss: 16.5846, Used: 4.9865s
Epoch [192/1000], Loss: 18.0089, Used: 4.9967s
Epoch [193/1000], Loss: 18.1136, Used: 5.0710s
Epoch [194/1000], Loss: 17.2419, Used: 5.0286s
Epoch [195/1000], Loss: 19.6022, Used: 4.9786s
Epoch [196/1000], Loss: 20.2558, Used: 5.0500s
Epoch [197/1000], Loss: 21.3780, Used: 4.9570s
Epoch [198/1000], Loss: 18.2646, Used: 4.9211s
Epoch [199/1000], Loss: 15.8965, Used: 4.9187s
Epoch [200/1000], Loss: 18.3383, Used: 4.9177s
Epoch [201/1000], Loss: 18.2397, Used: 4.9181s
Epoch [202/1000], Loss: 16.0039, Used: 4.9281s
Epoch [203/1000], Loss: 17.2627, Used: 5.0652s
Epoch [204/1000], Loss: 16.1285, Used: 4.9168s
Epoch [205/1000], Loss: 16.8629, Used: 4.9133s
Epoch [206/1000], Loss: 17.5667, Used: 4.8423s
Epoch [207/1000], Loss: 16.5829, Used: 4.8432s
Epoch [208/1000], Loss: 18.2793, Used: 4.8420s
Epoch [209/1000], Loss: 15.7689, Used: 4.8427s
Epoch [210/1000], Loss: 15.5610, Used: 4.8422s
Epoch [211/1000], Loss: 18.4222, Used: 4.8432s
Epoch [212/1000], Loss: 16.9773, Used: 4.8431s
Epoch [213/1000], Loss: 14.5990, Used: 4.8431s
Epoch [214/1000], Loss: 15.4305, Used: 4.8476s
Epoch [215/1000], Loss: 16.4617, Used: 4.8428s
Epoch [216/1000], Loss: 16.0336, Used: 4.8421s
Epoch [217/1000], Loss: 17.2108, Used: 4.8436s
Epoch [218/1000], Loss: 19.5572, Used: 4.8434s
Epoch [219/1000], Loss: 15.2757, Used: 4.8432s
Epoch [220/1000], Loss: 19.4581, Used: 4.8451s
Epoch [221/1000], Loss: 17.1083, Used: 4.8437s
